id,title,type,release_year,age_certification,runtime,genre.2.1,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
tm191013,Boogie Nights,MOVIE,1997,R,156,drama,['US'],7.9,261563,20.436,7.9,64
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,drama,['US'],8.8,2021343,63.449,8.8,76
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,romance,['US'],8.8,2021343,63.449,8.8,76
tm25947,Snatch,MOVIE,2000,R,103,crime,"['US', 'GB']",8.3,841435,25.203,8.3,111
tm25947,Snatch,MOVIE,2000,R,103,comedy,"['US', 'GB']",8.3,841435,25.203,8.3,111
tm43808,The Talented Mr. Ripley,MOVIE,1999,R,139,thriller,['US'],7.4,207524,13.78,7.4,51
tm43808,The Talented Mr. Ripley,MOVIE,1999,R,139,drama,['US'],7.4,207524,13.78,7.4,51
tm43808,The Talented Mr. Ripley,MOVIE,1999,R,139,crime,['US'],7.4,207524,13.78,7.4,51
ts20339,One Piece,SHOW,1999,TV-14,23,animation,['JP'],8.8,117129,143.457,8.8,202
ts20339,One Piece,SHOW,1999,TV-14,23,action,['JP'],8.8,117129,143.457,8.8,202
ts20339,One Piece,SHOW,1999,TV-14,23,comedy,['JP'],8.8,117129,143.457,8.8,202
ts20339,One Piece,SHOW,1999,TV-14,23,drama,['JP'],8.8,117129,143.457,8.8,202
ts20339,One Piece,SHOW,1999,TV-14,23,fantasy,['JP'],8.8,117129,143.457,8.8,202
ts5145,The Challenge,SHOW,1998,TV-14,40,reality,['US'],7.8,3362,18.075,7.8,136
ts5145,The Challenge,SHOW,1998,TV-14,40,comedy,['US'],7.8,3362,18.075,7.8,136
ts5145,The Challenge,SHOW,1998,TV-14,40,drama,['US'],7.8,3362,18.075,7.8,136
ts5145,The Challenge,SHOW,1998,TV-14,40,scifi,['US'],7.8,3362,18.075,7.8,136
tm191110,Titanic,MOVIE,1997,PG-13,194,drama,['US'],7.9,1146825,155.683,7.9,250
tm191110,Titanic,MOVIE,1997,PG-13,194,romance,['US'],7.9,1146825,155.683,7.9,250
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,animation,['JP'],8.9,115448,35.402,8.9,208
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,action,['JP'],8.9,115448,35.402,8.9,208
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,scifi,['JP'],8.9,115448,35.402,8.9,208
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,western,['JP'],8.9,115448,35.402,8.9,208
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,comedy,['JP'],8.9,115448,35.402,8.9,208
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,drama,['JP'],8.9,115448,35.402,8.9,208
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,thriller,['JP'],8.9,115448,35.402,8.9,208
tm192037,Starship Troopers,MOVIE,1997,R,129,scifi,['US'],7.3,291452,29.5,7.3,220
tm192037,Starship Troopers,MOVIE,1997,R,129,action,['US'],7.3,291452,29.5,7.3,220
tm192037,Starship Troopers,MOVIE,1997,R,129,thriller,['US'],7.3,291452,29.5,7.3,220
tm27395,Mission: Impossible II,MOVIE,2000,PG-13,123,thriller,['US'],6.1,337987,29.392,6.1,239
tm27395,Mission: Impossible II,MOVIE,2000,PG-13,123,action,['US'],6.1,337987,29.392,6.1,239
tm113513,Dumb and Dumber,MOVIE,1994,PG-13,107,comedy,['US'],7.3,379999,31.852,7.3,225
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,drama,['JP'],8.5,66629,49.27,8.5,50
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,['JP'],8.5,66629,49.27,8.5,50
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,animation,['JP'],8.5,66629,49.27,8.5,50
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,action,['JP'],8.5,66629,49.27,8.5,50
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,fantasy,['JP'],8.5,66629,49.27,8.5,50
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,thriller,['JP'],8.5,66629,49.27,8.5,50
tm192405,Gattaca,MOVIE,1997,PG-13,106,scifi,['US'],7.8,300701,17.789,7.8,297
tm192405,Gattaca,MOVIE,1997,PG-13,106,thriller,['US'],7.8,300701,17.789,7.8,297
tm192405,Gattaca,MOVIE,1997,PG-13,106,romance,['US'],7.8,300701,17.789,7.8,297
tm192405,Gattaca,MOVIE,1997,PG-13,106,drama,['US'],7.8,300701,17.789,7.8,297
tm116655,Léon: The Professional,MOVIE,1994,R,111,crime,"['US', 'FR']",8.5,1137357,51.406,8.5,47
tm116655,Léon: The Professional,MOVIE,1994,R,111,drama,"['US', 'FR']",8.5,1137357,51.406,8.5,47
tm116655,Léon: The Professional,MOVIE,1994,R,111,action,"['US', 'FR']",8.5,1137357,51.406,8.5,47
tm116655,Léon: The Professional,MOVIE,1994,R,111,thriller,"['US', 'FR']",8.5,1137357,51.406,8.5,47
tm116655,Léon: The Professional,MOVIE,1994,R,111,european,"['US', 'FR']",8.5,1137357,51.406,8.5,47
ts21567,Gilmore Girls,SHOW,2000,TV-14,46,comedy,['US'],8.2,121462,58.578,8.2,79
ts21567,Gilmore Girls,SHOW,2000,TV-14,46,drama,['US'],8.2,121462,58.578,8.2,79
tm116488,Natural Born Killers,MOVIE,1994,R,118,thriller,['US'],7.3,11,21.933,7.3,111
tm116488,Natural Born Killers,MOVIE,1994,R,118,drama,['US'],7.3,11,21.933,7.3,111
tm116488,Natural Born Killers,MOVIE,1994,R,118,crime,['US'],7.3,11,21.933,7.3,111
tm116488,Natural Born Killers,MOVIE,1994,R,118,action,['US'],7.3,11,21.933,7.3,111
tm11556,The Quick and the Dead,MOVIE,1995,R,107,action,"['JP', 'US']",6.5,93767,13.056,6.5,96
tm11556,The Quick and the Dead,MOVIE,1995,R,107,thriller,"['JP', 'US']",6.5,93767,13.056,6.5,96
tm11556,The Quick and the Dead,MOVIE,1995,R,107,western,"['JP', 'US']",6.5,93767,13.056,6.5,96
tm11556,The Quick and the Dead,MOVIE,1995,R,107,romance,"['JP', 'US']",6.5,93767,13.056,6.5,96
tm56574,You've Got Mail,MOVIE,1998,PG,119,comedy,['US'],6.7,211635,21.724,6.7,289
tm56574,You've Got Mail,MOVIE,1998,PG,119,romance,['US'],6.7,211635,21.724,6.7,289
tm56574,You've Got Mail,MOVIE,1998,PG,119,drama,['US'],6.7,211635,21.724,6.7,289
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,action,['US'],6.5,22110,19.699,6.5,273
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,scifi,['US'],6.5,22110,19.699,6.5,273
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,fantasy,['US'],6.5,22110,19.699,6.5,273
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,family,['US'],6.5,22110,19.699,6.5,273
tm53991,Big Daddy,MOVIE,1999,PG-13,93,drama,['US'],6.4,215053,26.848,6.4,59
tm53991,Big Daddy,MOVIE,1999,PG-13,93,comedy,['US'],6.4,215053,26.848,6.4,59
tm53991,Big Daddy,MOVIE,1999,PG-13,93,european,['US'],6.4,215053,26.848,6.4,59
tm49178,Vampires,MOVIE,1998,R,104,fantasy,['US'],6.1,58670,10.108,6.1,22
tm49178,Vampires,MOVIE,1998,R,104,action,['US'],6.1,58670,10.108,6.1,22
tm49178,Vampires,MOVIE,1998,R,104,horror,['US'],6.1,58670,10.108,6.1,22
tm49178,Vampires,MOVIE,1998,R,104,thriller,['US'],6.1,58670,10.108,6.1,22
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,scifi,['JP'],7.3,21113,33.504,7.3,235
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,action,['JP'],7.3,21113,33.504,7.3,235
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,['JP'],7.3,21113,33.504,7.3,235
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,fantasy,['JP'],7.3,21113,33.504,7.3,235
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,animation,['JP'],7.3,21113,33.504,7.3,235
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,comedy,['JP'],7.3,21113,33.504,7.3,235
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,drama,['JP'],7.3,21113,33.504,7.3,235
tm191989,Donnie Brasco,MOVIE,1997,R,127,drama,['US'],7.7,303868,22.225,7.7,192
tm191989,Donnie Brasco,MOVIE,1997,R,127,thriller,['US'],7.7,303868,22.225,7.7,192
tm191989,Donnie Brasco,MOVIE,1997,R,127,crime,['US'],7.7,303868,22.225,7.7,192
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,animation,"['CA', 'US']",7.8,9829,16.83,7.8,212
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,scifi,"['CA', 'US']",7.8,9829,16.83,7.8,212
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,comedy,"['CA', 'US']",7.8,9829,16.83,7.8,212
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,family,"['CA', 'US']",7.8,9829,16.83,7.8,212
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,fantasy,"['CA', 'US']",7.8,9829,16.83,7.8,212
ts22489,Goosebumps,SHOW,1995,TV-PG,22,scifi,"['US', 'CA']",7.6,13493,63.687,7.6,52
ts22489,Goosebumps,SHOW,1995,TV-PG,22,thriller,"['US', 'CA']",7.6,13493,63.687,7.6,52
ts22489,Goosebumps,SHOW,1995,TV-PG,22,family,"['US', 'CA']",7.6,13493,63.687,7.6,52
ts22489,Goosebumps,SHOW,1995,TV-PG,22,fantasy,"['US', 'CA']",7.6,13493,63.687,7.6,52
ts22489,Goosebumps,SHOW,1995,TV-PG,22,horror,"['US', 'CA']",7.6,13493,63.687,7.6,52
ts22489,Goosebumps,SHOW,1995,TV-PG,22,music,"['US', 'CA']",7.6,13493,63.687,7.6,52
ts21034,InuYasha,SHOW,2000,TV-14,25,scifi,['JP'],7.9,15823,62.355,7.9,98
ts21034,InuYasha,SHOW,2000,TV-14,25,action,['JP'],7.9,15823,62.355,7.9,98
ts21034,InuYasha,SHOW,2000,TV-14,25,fantasy,['JP'],7.9,15823,62.355,7.9,98
ts21034,InuYasha,SHOW,2000,TV-14,25,romance,['JP'],7.9,15823,62.355,7.9,98
ts21034,InuYasha,SHOW,2000,TV-14,25,animation,['JP'],7.9,15823,62.355,7.9,98
ts21034,InuYasha,SHOW,2000,TV-14,25,comedy,['JP'],7.9,15823,62.355,7.9,98
ts21034,InuYasha,SHOW,2000,TV-14,25,drama,['JP'],7.9,15823,62.355,7.9,98
tm121879,A River Runs Through It,MOVIE,1992,PG,123,drama,['US'],7.2,59854,19.58,7.2,9
tm44402,"Girl, Interrupted",MOVIE,1999,R,127,drama,"['DE', 'US']",7.3,183154,20.424,7.3,108
